2024-10-10 19:32:23,642 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\pom.xml
2024-10-10 19:36:15,130 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mave.biosalud:ProyectoBioSalud:0.0.1-SNAPSHOT @ D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\pom.xml.
2024-10-10 19:36:15,735 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:36:15,736 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:36:15,736 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:36:15,737 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:36:15,737 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoBioSalud
2024-10-10 19:36:15,737 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoBioSalud
2024-10-10 19:36:15,739 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:38:33,657 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:38:33,657 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:38:33,657 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:38:33,658 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:38:50,332 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:38:50,333 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:38:50,333 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:38:50,334 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:39:02,344 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-10 19:39:02,587 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mave.biosalud:ProyectoBioSalud:0.0.1-SNAPSHOT @ D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\pom.xml.
2024-10-10 19:39:03,196 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoBioSalud/src/main/java
2024-10-10 19:39:03,196 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoBioSalud/src/main/resources
2024-10-10 19:39:03,197 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoBioSalud/src/test/java
2024-10-10 19:39:03,874 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoBioSalud
2024-10-10 19:39:03,877 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-10 19:39:04,585 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:04,585 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:39:04,586 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:04,586 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:39:04,587 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoBioSalud
2024-10-10 19:39:04,587 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoBioSalud
2024-10-10 19:39:04,588 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:04,853 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:04,855 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:39:04,855 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:04,856 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:39:44,218 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:44,218 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:39:44,219 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:39:44,220 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:39:58,238 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-10 19:39:58,482 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mave.biosalud:ProyectoBioSalud:0.0.1-SNAPSHOT @ D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\pom.xml.
2024-10-10 19:39:59,085 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoBioSalud/src/main/java
2024-10-10 19:39:59,085 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoBioSalud/src/main/resources
2024-10-10 19:39:59,085 [Worker-23] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoBioSalud/src/test/java
2024-10-10 19:39:59,505 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoBioSalud
2024-10-10 19:39:59,508 [Worker-23] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-10 19:40:00,060 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:40:00,061 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:40:00,061 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:40:00,062 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:40:00,062 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoBioSalud
2024-10-10 19:40:00,062 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoBioSalud
2024-10-10 19:40:00,064 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:42:38,762 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-10 19:42:38,996 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mave.biosalud:ProyectoBioSalud:0.0.1-SNAPSHOT @ D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\pom.xml.
2024-10-10 19:42:39,597 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoBioSalud/src/main/java
2024-10-10 19:42:39,597 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoBioSalud/src/main/resources
2024-10-10 19:42:39,597 [Worker-26] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoBioSalud/src/test/java
2024-10-10 19:42:40,028 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoBioSalud
2024-10-10 19:42:40,030 [Worker-26] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-10 19:42:40,578 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:42:40,579 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:42:40,580 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:42:40,581 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:42:40,581 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoBioSalud
2024-10-10 19:42:40,581 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoBioSalud
2024-10-10 19:42:40,584 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:04,725 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:04,728 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-10 19:43:04,728 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:04,729 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:43:12,406 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:12,407 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:43:12,407 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:12,408 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:43:14,562 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:14,562 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:43:14,563 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:14,564 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:43:17,487 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:17,488 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:43:17,489 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:17,490 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:43:59,942 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:59,942 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:43:59,943 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:43:59,944 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:44:04,167 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:44:04,168 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:44:04,168 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:44:04,169 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:44:08,212 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:44:08,212 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:44:08,213 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:44:08,214 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
2024-10-10 19:44:17,442 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:44:17,443 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\main\resources
2024-10-10 19:44:17,443 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-10 19:44:17,444 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\PROYECTO\PROYECTO_LP2_EFSRT\PROYECTO_FINAL\ProyectoBioSalud\src\test\resources
